,Date,AQI,Sample_Duration,Pollutant_Type
616,1990-08-09,21,24 HOUR,81102
617,1990-08-15,9,24 HOUR,81102
618,1990-08-21,28,24 HOUR,81102
619,1990-09-08,24,24 HOUR,81102
620,1990-10-02,15,24 HOUR,81102
621,1990-10-08,11,24 HOUR,81102
622,1990-10-14,18,24 HOUR,81102
623,1990-10-20,25,24 HOUR,81102
624,1990-10-26,19,24 HOUR,81102
625,1990-11-01,17,24 HOUR,81102
626,1990-11-13,11,24 HOUR,81102
627,1990-11-25,10,24 HOUR,81102
628,1990-12-01,17,24 HOUR,81102
629,1990-12-07,27,24 HOUR,81102
630,1990-12-13,18,24 HOUR,81102
631,1990-12-19,8,24 HOUR,81102
632,1990-12-25,16,24 HOUR,81102
633,1990-12-31,14,24 HOUR,81102
634,1991-01-06,8,24 HOUR,81102
635,1991-01-12,19,24 HOUR,81102
636,1991-01-18,12,24 HOUR,81102
637,1991-01-24,19,24 HOUR,81102
638,1991-01-30,20,24 HOUR,81102
639,1991-02-05,16,24 HOUR,81102
640,1991-02-11,17,24 HOUR,81102
641,1991-02-17,9,24 HOUR,81102
642,1991-02-23,16,24 HOUR,81102
643,1991-03-01,10,24 HOUR,81102
644,1991-03-07,16,24 HOUR,81102
645,1991-03-25,46,24 HOUR,81102
646,1991-03-31,22,24 HOUR,81102
647,1991-04-06,16,24 HOUR,81102
648,1991-04-12,28,24 HOUR,81102
649,1991-04-18,20,24 HOUR,81102
650,1991-04-24,28,24 HOUR,81102
651,1991-04-30,26,24 HOUR,81102
652,1991-05-06,29,24 HOUR,81102
653,1991-05-12,25,24 HOUR,81102
654,1991-05-18,20,24 HOUR,81102
655,1991-05-24,16,24 HOUR,81102
656,1991-05-30,22,24 HOUR,81102
657,1991-06-05,19,24 HOUR,81102
658,1991-06-11,19,24 HOUR,81102
659,1991-06-17,17,24 HOUR,81102
